"Name","IconFile","UnlockArena","Rarity","ManaCost","ManaCostFromSummonerMana","NotInUse","Mirror","CustomDeployTime","SummonCharacter","SummonNumber","SummonCharacterLevelIndex","SummonCharacterSecond","SummonCharacterSecondCount","SummonRadius","Radius","Height","Projectile","SpellAsDeploy","CanPlaceOnBuildings","InstantDamage","DurationSeconds","InstantHeal","HealPerSecond","Effect","Pushback","MultipleProjectiles","CustomFirstProjectile","BuffTime","BuffTimeIncreasePerLevel","BuffNumber","BuffType","BuffOnDamage","OnlyOwnTroops","OnlyEnemies","CanDeployOnEnemySide","CastSound","AreaEffectObject","TID","TID_INFO","IndicatorEffect","HideRadiusIndicator","DestIndicatorEffect","ReleaseDate","ElixirProductionStopTime","DarkMirror","StatsUnderInfo"
"string","string","string","string","int","boolean","boolean","boolean","int","string","int","int","string","int","int","int","int","string","boolean","boolean","int","int","int","int","string","int","int","string","int","int","int","string","string","boolean","boolean","boolean","string","string","string","string","String","boolean","String","String","int","boolean","boolean"
"Knight","knight","TrainingCamp","Common",3,,,,,"Knight",,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,
"Archer","archers","TrainingCamp","Common",3,,,,,"Archer",2,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_ARCHERS","TID_SPELL_INFO_ARCHERS",,,,,,,
"Goblins","goblins","Arena1","Common",2,,,,,"Goblin",3,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_GOBLINS","TID_SPELL_INFO_GOBLINS",,,,,,,
"Giant","giant","TrainingCamp","Rare",5,,,,,"Giant",,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,"true",,,,,"TID_SPELL_GIANT","TID_SPELL_INFO_GIANT",,,,,,,
"Pekka","pekka","Arena4","Epic",7,,,,,"Pekka",,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,"true",,,,,"TID_SPELL_PEKKA","TID_SPELL_INFO_PEKKA",,,,,,,
"Minions","minion","Arena2","Common",3,,,,,"Minion",3,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_MINIONS","TID_SPELL_INFO_MINIONS",,,,,,,
"Balloon","chr_balloon","Arena2","Epic",5,,,,,"Balloon",,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_BALLOON","TID_SPELL_INFO_BALLOON",,,,,,,
"Witch","chr_witch","TrainingCamp","Epic",5,,,,,"Witch",,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,"true",,,,,"TID_SPELL_WITCH","TID_SPELL_INFO_WITCH",,,,,,,
"Barbarians","barbarians","Arena3","Common",5,,,,,"Barbarian",4,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_BARBARIANS","TID_SPELL_INFO_BARBARIANS",,,,,,,
"Golem","chr_golem","Arena6","Epic",8,,,,,"Golem",,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,"true",,,,,"TID_SPELL_GOLEM","TID_SPELL_INFO_GOLEM",,,,,,,
"Skeletons","skeletons","Arena2","Common",1,,,,,"Skeleton",3,,,,700,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_SKELETONS","TID_SPELL_INFO_SKELETONS",,,,,,,
"Valkyrie","valkyrie","Arena1","Rare",4,,,,,"Valkyrie",,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,"TID_SPELL_VALKYRIE","TID_SPELL_INFO_VALKYRIE",,,,,,,
